user_pseudo_id,day_0
260D74B8D7F12AE65482FFBB3671F210,2018-09-28
470C4295F57DD571554C299036C3CF83,2018-09-28
055922A1CAF55846CF969D475E41D35C,2018-09-28
27059FB4D5533270601FC8EDC9F82AB8,2018-08-25
008B98FBBEAA0123D07AE8C7B589D91E,2018-08-25
0E15EE09E81BC031CD11D069FADEE48D,2018-08-25
E753BCF728EBAF5CF4D2D57705F007FA,2018-08-31
B50E2B0888440679A84A3D861332531C,2018-08-31
243F0E000A124FA01942A5A20F0C9A81,2018-06-14
3F15D8D167BBBFA96BC09026D13DFAC1,2018-06-14
81F36CE188872C5CA5A8B7E28C9D55C5,2018-06-14
1A8DD7AAAB0FABEAA3484E5449099D92,2018-06-14
6EABEB4C614A719988D7946B733FFCF8,2018-10-02
0018E9BAF92AFA2FFFCDCB5F48A3B134,2018-10-02
68A00750F05493A3B6162302FAC3E0AB,2018-10-02
A33B3E5D320A35A5BA168F271D6BC956,2018-10-02
97D4992ED9FB86835A06BC8421974FF7,2018-06-12
06609A3933F8675D7CAEEC4831E49CD1,2018-06-12
89A5AD5EB82221A45F9766C77E471DFB,2018-09-10
81BED530EEBE21DB1728B18F33232084,2018-09-10
1922587B271F092DE7702085EB7D6E67,2018-09-10
18E411FDAAC1721AA04F64BC6193F968,2018-09-10
9E0D5B1B5CE13E3AE469E07895FC67A5,2018-09-10
243BAE988EFC505938777D2BD05ADD35,2018-09-10
F31E142FB4557BD379A87530B6085E7D,2018-09-10
289B1E1B27ED4803044E65DF0DF5554B,2018-09-10
12778CF154E8F1CB2AEEC082EBE5C9D6,2018-09-10
6E596EA31C1209D9F775EE90E40CDB29,2018-09-10
89B041D20D6C4FC5DA72F46D7096EF4A,2018-09-16
3429D437AF1A8B44D0B657A57003EE18,2018-09-16
8D74209816945E39351F2756CC97E3F5,2018-09-16
1A4D67D58B4C6C8E926D7F2CC60E8E60,2018-09-16
1BE4F29852B390FC94D2A4E7382CCEBD,2018-09-13
E5E4C7E5600DD124D56BA0B0FF41B07C,2018-09-13
6CF9555F887B611585653890F37F5CF6,2018-09-13
