period,window_group,event_name,n_events,n_users
20180622,pre_window,level_reset_quickplay,1154,66
20180622,pre_window,os_update,20,20
20180622,in_window,level_fail_quickplay,77,21
20180622,in_window,level_start_quickplay,196,32
20180622,pre_window,level_up,225,32
20180622,in_window,firebase_campaign,48,25
20180622,pre_window,app_exception,24,11
20180622,in_window,level_reset,31,11
20180622,pre_window,error,11,6
20180622,pre_window,challenge_a_friend,5,2
20180622,in_window,level_reset_quickplay,40,11
20180622,pre_window,use_extra_steps,18,8
20180622,pre_window,level_complete,216,29
20180622,in_window,first_open,36,36
20180625,in_window,level_up,24,8
20180625,in_window,post_score,40,11
20180625,in_window,session_start,54,31
20180625,pre_window,session_start,1147,747
20180625,pre_window,level_end_quickplay,6126,594
20180625,pre_window,screen_view,1695,1125
20180625,pre_window,user_engagement,20694,815
20180625,in_window,level_complete,24,8
20180625,pre_window,post_score,2468,346
20180625,pre_window,level_start_quickplay,8139,680
20180625,pre_window,level_up,267,48
20180625,pre_window,level_start,881,120
20180625,pre_window,level_complete,277,51
20180625,pre_window,level_retry,416,74
20180625,pre_window,level_reset_quickplay,1317,135
20180625,pre_window,level_reset,64,25
20180625,pre_window,level_fail_quickplay,2488,373
20180625,pre_window,level_fail,189,47
20180625,in_window,level_retry,79,11
20180625,in_window,use_extra_steps,5,4
20180625,pre_window,level_complete_quickplay,233,20
20180625,pre_window,use_extra_steps,66,23
20180625,pre_window,app_remove,28,28
20180625,pre_window,level_retry_quickplay,576,143
20180625,pre_window,completed_5_levels,15,15
20180625,in_window,screen_view,60,33
20180625,in_window,level_fail_quickplay,79,14
20180625,in_window,level_start,128,14
20180625,in_window,level_fail,63,10
20180625,in_window,level_end,94,14
20180625,in_window,level_reset,13,4
20180625,pre_window,os_update,73,73
20180625,in_window,no_more_extra_steps,5,4
20180625,pre_window,level_end,679,103
20180625,pre_window,select_content,105,34
20180625,pre_window,app_update,52,52
20180625,pre_window,no_more_extra_steps,41,25
20180625,pre_window,firebase_campaign,23,16
20180625,in_window,level_reset_quickplay,15,5
20180625,pre_window,ad_reward,32,15
20180625,in_window,user_engagement,926,30
20180701,pre_window,user_engagement,20540,789
20180701,pre_window,level_fail_quickplay,2363,347
20180701,in_window,level_end,112,11
20180701,in_window,session_start,44,26
20180701,in_window,level_fail_quickplay,47,11
20180701,in_window,level_start_quickplay,152,15
20180701,pre_window,level_reset,63,29
20180701,pre_window,level_end_quickplay,5715,559
20180701,in_window,screen_view,43,28
20180701,pre_window,level_start,1054,134
20180701,pre_window,session_start,1116,727
20180701,pre_window,level_start_quickplay,8063,642
20180701,pre_window,level_retry_quickplay,477,134
20180701,pre_window,level_retry,532,89
20180701,pre_window,no_more_extra_steps,39,22
20180701,pre_window,post_score,2543,335
20180701,pre_window,screen_view,1835,1120
20180701,pre_window,level_end,854,116
20180701,in_window,user_engagement,823,26
20180701,in_window,level_complete,50,7
20180701,in_window,level_retry,90,9
20180701,in_window,level_start,128,12
20180701,pre_window,level_reset_quickplay,1521,111
20180701,pre_window,level_complete,333,67
20180701,pre_window,ad_reward,28,9
20180701,pre_window,level_fail,253,56
20180701,pre_window,level_up,333,67
20180701,pre_window,use_extra_steps,67,24
20180701,pre_window,app_exception,14,13
20180701,pre_window,app_remove,32,32
20180701,pre_window,firebase_campaign,13,12
20180701,pre_window,spend_virtual_currency,2,1
20180701,pre_window,os_update,70,70
20180701,pre_window,select_content,82,31
20180701,pre_window,level_complete_quickplay,142,16
20180701,pre_window,app_update,52,52
20180630,pre_window,level_start_quickplay,8328,665
20180630,in_window,post_score,123,10
20180630,in_window,level_retry,51,7
20180630,in_window,user_engagement,1146,38
20180630,pre_window,user_engagement,19901,797
20180630,pre_window,level_end,724,105
20180630,pre_window,level_retry_quickplay,527,122
20180630,pre_window,session_start,1134,741
