period,window_group,event_name,n_events,n_users
20180622,in_window,app_exception,7,4
20180701,in_window,level_reset,5,3
20180629,in_window,app_exception,3,1
20180629,in_window,app_update,2,2
20180629,in_window,os_update,2,2
20180626,in_window,level_reset_quickplay,7,2
20180626,in_window,level_retry_quickplay,9,5
20180626,in_window,first_open,1,1
20180618,in_window,level_end_quickplay,154,6
20180618,pre_window,challenge_a_friend,4,3
20180618,in_window,no_more_extra_steps,1,1
20180623,pre_window,error,8,6
20180623,in_window,error,4,3
20180623,in_window,app_update,2,2
20180619,pre_window,spend_virtual_currency,2,2
20180625,in_window,level_retry_quickplay,11,4
20180701,in_window,level_reset_quickplay,6,3
20180630,in_window,app_exception,1,1
20180630,in_window,use_extra_steps,4,3
20180626,in_window,no_more_extra_steps,1,1
20180626,in_window,app_remove,1,1
20180626,in_window,use_extra_steps,1,1
20180621,in_window,dynamic_link_first_open,1,1
20180621,pre_window,in_app_purchase,1,1
20180620,pre_window,spend_virtual_currency,31,10
20180620,pre_window,challenge_a_friend,1,1
20180618,in_window,level_end,49,7
20180623,in_window,app_remove,5,5
20180625,in_window,ad_reward,2,1
20180629,in_window,challenge_a_friend,6,4
20180621,pre_window,ad_reward,11,4
20180620,in_window,ad_reward,2,1
20180620,in_window,error,1,1
20180620,pre_window,app_clear_data,1,1
20180620,pre_window,firebase_campaign,2,1
20180623,in_window,app_exception,1,1
20180624,in_window,use_extra_steps,100,6
20180619,pre_window,challenge_a_friend,1,1
20180630,in_window,app_remove,1,1
20180629,pre_window,firebase_campaign,2,1
20180626,pre_window,error,2,1
20180621,in_window,challenge_a_friend,2,1
20180621,in_window,challenge_accepted,1,1
20180618,in_window,os_update,1,1
20180624,in_window,error,3,3
20180628,in_window,level_retry_quickplay,4,3
20180628,in_window,level_complete,22,6
20180701,in_window,error,1,1
20180626,in_window,app_update,1,1
20180618,in_window,level_reset_quickplay,12,2
20180628,pre_window,challenge_a_friend,4,2
20180619,in_window,completed_5_levels,1,1
20180619,pre_window,dynamic_link_first_open,1,1
20180625,pre_window,dynamic_link_app_open,1,1
20180701,in_window,no_more_extra_steps,1,1
20180630,in_window,completed_5_levels,1,1
20180628,in_window,completed_5_levels,1,1
20180620,in_window,app_exception,1,1
20180627,in_window,os_update,1,1
stable_block,pre_window,app_exception,3602,478
stable_block,pre_window,level_fail_quickplay,85883,3429
stable_block,in_window,session_start,12994,3616
stable_block,in_window,level_up,18732,1894
stable_block,pre_window,user_engagement,798714,7065
stable_block,pre_window,screen_view,1493336,6966
stable_block,in_window,level_complete_quickplay,22114,1275
stable_block,in_window,level_fail_quickplay,19784,1605
stable_block,in_window,user_engagement,273482,3993
stable_block,in_window,level_end,27796,1906
stable_block,in_window,select_content,26139,3617
stable_block,in_window,post_score,40845,2578
stable_block,in_window,level_start_quickplay,62812,2783
stable_block,pre_window,app_remove,720,719
stable_block,pre_window,level_end_quickplay,230246,4641
stable_block,pre_window,session_start,46288,6388
stable_block,pre_window,level_end,14865,1558
stable_block,pre_window,use_extra_steps,4140,620
stable_block,pre_window,level_start_quickplay,346926,5448
stable_block,in_window,screen_view,458328,3959
stable_block,pre_window,spend_virtual_currency,4397,693
stable_block,in_window,level_end_quickplay,41897,1919
stable_block,pre_window,level_complete_quickplay,144349,3735
stable_block,pre_window,level_retry,11195,1165
stable_block,in_window,level_start,38092,2026
stable_block,in_window,level_retry,23300,1662
stable_block,in_window,level_reset,4974,959
stable_block,in_window,level_reset_quickplay,13755,1301
stable_block,pre_window,post_score,154774,4678
stable_block,in_window,no_more_extra_steps,1011,643
stable_block,in_window,level_complete,18366,1844
stable_block,pre_window,ad_reward,1072,146
stable_block,pre_window,level_retry_quickplay,18044,1457
stable_block,pre_window,os_update,2082,1932
stable_block,in_window,level_retry_quickplay,4951,955
stable_block,in_window,level_fail,9065,1006
stable_block,pre_window,no_more_extra_steps,1269,338
stable_block,pre_window,select_content,64633,6278
stable_block,in_window,completed_5_levels,1072,948
stable_block,pre_window,completed_5_levels,495,388
stable_block,pre_window,level_start,20365,1741
stable_block,in_window,app_remove,1422,1419
stable_block,in_window,firebase_campaign,4450,2218
stable_block,pre_window,level_reset_quickplay,83464,1561
stable_block,pre_window,app_update,1697,1615
stable_block,pre_window,level_complete,9830,1255
stable_block,in_window,first_open,3896,3894
stable_block,pre_window,level_fail,4445,848
stable_block,in_window,spend_virtual_currency,4032,1115
stable_block,in_window,app_exception,721,196
stable_block,pre_window,level_up,10421,1334
stable_block,in_window,use_extra_steps,3688,1016
stable_block,pre_window,firebase_campaign,344,175
stable_block,pre_window,level_reset,1844,481
stable_block,pre_window,error,1074,374
stable_block,in_window,os_update,246,234
stable_block,in_window,error,451,143
stable_block,pre_window,challenge_a_friend,195,100
stable_block,in_window,challenge_a_friend,237,106
stable_block,in_window,app_update,169,165
stable_block,in_window,ad_reward,404,125
stable_block,in_window,dynamic_link_first_open,12,12
stable_block,pre_window,challenge_accepted,1,1
stable_block,pre_window,app_clear_data,6,6
stable_block,in_window,in_app_purchase,16,16
stable_block,in_window,app_clear_data,6,5
stable_block,pre_window,notification_foreground,1,1
stable_block,in_window,dynamic_link_app_open,13,6
stable_block,in_window,challenge_accepted,3,2
stable_block,pre_window,dynamic_link_app_open,3,2
stable_block,pre_window,in_app_purchase,5,5
